Sl. No,Field Name,Field Type,Example
9801,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/be/P00949729_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/be/P00949729_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/be/P00949729_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/be/P00949729_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/be/P00949729_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/be/P00949729_d4.jpg']"
9802,breadcrumbs,list,"['Men', 'Designers', 'Loewe', 'Shoes', 'Sneakers', 'Low-Top']"
9803,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ba/P00956066.jpg
9804,brand_name,string,Loewe
9805,product_name,string,Terra Vulca suede sneakers
9806,product_price,string,€ 545
9807,product_id,string,P00956066
9808,Description,string,None
9809,Sizes,list,"['EU 39', 'EU 40', 'EU 41', 'EU 42', 'EU 43', 'EU 44', 'EU 45']"
9810,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ba/P00956066_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ba/P00956066_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ba/P00956066_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ba/P00956066_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ba/P00956066_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ba/P00956066_d4.jpg']"
9811,breadcrumbs,list,"['Men', 'Designers', 'Christian Louboutin', 'Shoes', 'Formal shoes', 'Oxford']"
9812,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/74/P00942465.jpg
9813,brand_name,string,Christian Louboutin
9814,product_name,string,Greggo leather-trimmed suede Oxford shoes
9815,product_price,string,€ 715
9816,product_id,string,P00942465
9817,Description,string,None
9818,Sizes,list,"['EU 39', 'EU 40', 'EU 41', 'EU 42', 'EU 43', 'EU 44', 'EU 45', 'EU 46']"
9819,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/74/P00942465_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/74/P00942465_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/74/P00942465_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/74/P00942465_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/74/P00942465_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/74/P00942465_d4.jpg']"
9820,breadcrumbs,list,"['Men', 'Designers', 'Christian Louboutin', 'Shoes', 'Formal shoes', 'Loafers']"
